time;codice;risposta
19:37:41.902;M73 P0 R46;ok
19:37:41.902;M73 Q0 S46;ok
19:37:41.907;G28;ok
19:37:41.907;G29;Bed x: 0.00 y: 0.00 z: 0.06 Bed x: 90.00 y: 0.00 z: 0.27 Bed x: 180.00 y: 0.00 z: 0.51 Bed x: 180.00 y: 80.00 z: 0.38 Bed x: 90.00 y: 80.00 z: 0.17 Bed x: 0.00 y: 80.00 z: -0.03 Bed x: 0.00 y: 160.00 z: 0.04 Bed x: 90.00 y: 160.00 z: 0.28 Bed x: 180.00 y: 160.00 z: 0.44 Eqn coefficients: a: 0.00 b: -0.00 d: 0.04 planeNormal x: -0.00 y: 0.00 z: 1.00 echo:endstops hit: Z:0.44
19:37:41.907;G1 Z5 F5000;ok
19:37:41.918;M107;ok
19:37:41.918;G90;ok
19:37:41.918;M82;ok
19:37:41.919;M190 S70;ok
19:37:41.920;M104 T0 S220;ok
19:37:58.470;M105;ok T:222.7 /220.0 B:70.1 /70.0 T0:222.7 /220.0 @:23 B@:44
19:40:48.848;M105;ok T:222.7 /220.0 B:70.1 /70.0 T0:222.7 /220.0 @:23 B@:44
19:40:48.849;G92 E0;ok
19:40:49.000;M109 T0 S220;T:222.6 E:0 W:? T:222.6 E:0 W:? T:222.9 E:0 W:? T:222.9 E:0 W:? T:222.9 E:0 W:? T:223.2 E:0 W:? T:222.6 E:0 W:? T:222.6 E:0 W:? T:221.4 E:0 W:? T:221.3 E:0 W:? T:221.7 E:0 W:9 T:220.6 E:0 W:8 T:221.0 E:0 W:7 T:220.6 E:0 W:6 T:220.8 E:0 W:5 T:220.2 E:0 W:4 T:219.7 E:0 W:3 T:219.7 E:0 W:2 T:218.9 E:0 W:1 T:218.3 E:0 W:0
19:40:49.000;G21;ok
19:40:49.004;G90;ok
19:40:49.005;M82;ok
19:40:49.009;G92 E0;ok
19:40:49.010;M106 S127.5;ok
19:40:49.010;G1 Z0.200 F9000.000;ok
19:41:09.812;M105;ok T:218.8 /220.0 B:70.0 /70.0 T0:218.8 /220.0 @:58 B@:74
19:41:09.812;G1 E-10.00000 F4800.000;ok
19:41:09.812;G92 E0;ok
19:41:09.812;G1 Z0.400 F9000.000;ok
19:41:09.816;G1 X71.200 Y78.941;ok
19:41:09.823;G1 Z0.200;ok
19:41:09.823;G1 E10.00000 F3600.000;ok
19:41:09.825;M204 S500;ok
19:41:09.828;G1 F1800.000;ok
19:41:09.835;G1 X72.755 Y77.602 E10.06092;ok
19:41:09.845;G1 X74.574 Y76.361 E10.12630;ok
19:41:09.846;G1 X77.887 Y74.524 E10.23878;ok
19:41:09.851;G1 X79.735 Y73.710 E10.29875;ok
19:41:09.857;G1 X81.670 Y73.095 E10.35903;ok
19:41:09.907;G1 X83.501 Y72.715 E10.41454;ok
19:41:09.913;G1 X85.359 Y72.517 E10.47004;ok
19:41:09.913;G1 X92.461 Y72.487 E10.68090;ok
19:41:09.918;G1 X95.171 Y72.683 E10.76157;ok
19:41:09.926;G1 X97.824 Y73.266 E10.84223;ok
19:41:09.930;G1 X101.249 Y74.466 E10.94998;ok
19:41:09.936;G1 X104.914 Y76.175 E11.07003;ok
19:41:12.256;M105;ok T:217.1 /220.0 B:70.0 /70.0 T0:217.1 /220.0 @:85 B@:73
19:41:12.256;G1 X106.884 Y77.440 E11.13956;ok
19:41:12.609;M105;ok T:218.3 /220.0 B:70.2 /70.0 T0:218.3 /220.0 @:61 B@:46
19:41:12.610;G1 X108.691 Y78.946 E11.20940;ok
19:41:12.614;G1 X112.211 Y82.755 E11.36340;ok
19:41:13.853;M105;ok T:218.2 /220.0 B:70.1 /70.0 T0:218.2 /220.0 @:63 B@:51
19:41:13.858;G1 X113.330 Y84.130 E11.41603;ok
19:41:13.932;G1 X114.629 Y86.142 E11.48715;ok
19:41:14.168;G1 X116.112 Y89.103 E11.58545;ok
19:41:14.257;G1 X116.897 Y91.194 E11.65179;ok
19:41:14.329;G1 X117.427 Y93.354 E11.71781;ok
19:41:14.456;G1 X117.631 Y94.747 E11.75960;ok
19:41:14.524;G1 X117.730 Y96.151 E11.80140;ok
19:41:14.592;G1 X117.741 Y102.752 E11.99739;ok
19:41:14.656;G1 X117.658 Y104.501 E12.04938;ok
19:41:14.716;G1 X117.411 Y106.246 E12.10170;ok
19:41:14.953;M105;ok T:218.7 /220.0 B:70.0 /70.0 T0:218.7 /220.0 @:53 B@:76
19:41:15.044;G1 X116.858 Y108.443 E12.16899;ok
19:41:15.139;G1 X116.046 Y110.559 E12.23629;ok
19:41:15.145;G1 X113.327 Y115.812 E12.41189;ok
19:41:15.280;G1 X112.286 Y117.517 E12.47122;ok
19:41:15.422;G1 X110.658 Y119.571 E12.54902;ok
19:41:15.469;G1 X108.290 Y121.898 E12.64762;ok
19:41:15.563;G1 X106.694 Y123.239 E12.70949;ok
19:41:15.721;G1 X104.961 Y124.396 E12.77137;ok
19:41:15.780;G1 X103.023 Y125.396 E12.83612;ok
19:41:15.861;G1 X100.983 Y126.166 E12.90086;ok
19:41:15.981;M105;ok T:218.5 /220.0 B:70.0 /70.0 T0:218.5 /220.0 @:54 B@:74
19:41:16.046;G1 X97.325 Y127.047 E13.01259;ok
19:41:16.120;G1 X95.545 Y127.344 E13.06618;ok
19:41:16.121;G1 X92.145 Y127.530 E13.16728;ok
19:41:16.168;G1 X87.641 Y127.521 E13.30099;ok
19:41:16.213;G1 X84.192 Y127.371 E13.40349;ok
19:41:16.435;G1 X82.126 Y127.097 E13.46537;ok
19:41:16.494;G1 X79.970 Y126.556 E13.53139;ok
19:41:16.554;G1 X77.901 Y125.769 E13.59709;ok
19:41:16.627;G1 X75.939 Y124.747 E13.66279;ok
19:41:16.704;G1 X74.109 Y123.503 E13.72849;ok
19:41:16.901;G1 X72.835 Y122.431 E13.77794;ok
19:41:16.969;G1 X70.763 Y120.426 E13.86354;ok
19:41:17.055;M105;ok T:217.9 /220.0 B:70.1 /70.0 T0:217.9 /220.0 @:64 B@:48
19:41:17.166;G1 X67.616 Y116.894 E14.00399;ok
19:41:17.237;G1 X66.098 Y114.771 E14.08148;ok
19:41:17.242;G1 X64.947 Y112.827 E14.14858;ok
19:41:17.305;G1 X64.104 Y111.015 E14.20790;ok
19:41:17.378;G1 X63.257 Y108.551 E14.28526;ok
19:41:17.450;G1 X62.775 Y106.512 E14.34746;ok
19:41:17.576;G1 X62.310 Y102.460 E14.46857;ok
