time;codice;risposta
13:05:54.558;M73 P0 R15;ok
13:05:54.558;M73 Q0 S15;ok
13:05:54.563;G28;ok
13:05:54.563;G29;Bed x: 0.00 y: 0.00 z: 0.07 Bed x: 90.00 y: 0.00 z: 0.27 Bed x: 180.00 y: 0.00 z: 0.49 Bed x: 180.00 y: 80.00 z: 0.35 Bed x: 90.00 y: 80.00 z: 0.14 Bed x: 0.00 y: 80.00 z: -0.02 Bed x: 0.00 y: 160.00 z: 0.05 Bed x: 90.00 y: 160.00 z: 0.27 Bed x: 180.00 y: 160.00 z: 0.36 Eqn coefficients: a: 0.00 b: -0.00 d: 0.06 planeNormal x: -0.00 y: 0.00 z: 1.00 echo:endstops hit: Z:0.36
13:05:54.564;G1 Z5 F5000;ok
13:05:54.564;M107;ok
13:05:54.569;G90;ok
13:05:54.569;M82;ok
13:05:54.571;M190 S70;ok
13:05:54.573;M104 T0 S220;ok
13:06:08.330;M105;ok T:223.0 /220.0 B:70.2 /70.0 T0:223.0 /220.0 @:21 B@:33
13:08:58.785;M105;ok T:223.0 /220.0 B:70.2 /70.0 T0:223.0 /220.0 @:21 B@:33
13:08:58.785;G92 E0;ok
13:08:58.823;M109 T0 S220;T:223.0 E:0 W:? T:223.9 E:0 W:? T:222.5 E:0 W:? T:222.1 E:0 W:? T:222.6 E:0 W:? T:222.3 E:0 W:? T:221.7 E:0 W:? T:222.1 E:0 W:? T:222.0 E:0 W:? T:221.2 E:0 W:? T:220.6 E:0 W:9 T:221.3 E:0 W:8 T:220.8 E:0 W:7 T:219.5 E:0 W:6 T:219.8 E:0 W:5 T:219.0 E:0 W:4 T:219.8 E:0 W:3 T:219.8 E:0 W:2 T:218.4 E:0 W:1 T:218.3 E:0 W:0
13:08:58.823;G21;ok
13:08:58.823;G90;ok
13:08:58.823;M82;ok
13:08:58.828;G92 E0;ok
13:08:58.829;M106 S127.5;ok
13:09:21.765;M105;ok T:219.1 /220.0 B:70.2 /70.0 T0:219.1 /220.0 @:50 B@:37
13:09:21.766;G1 Z0.200 F9000.000;ok
13:09:21.766;G1 E-10.00000 F4800.000;ok
13:09:21.766;G92 E0;ok
13:09:21.766;G1 Z0.400 F9000.000;ok
13:09:21.775;G1 X71.399 Y78.861;ok
13:09:21.775;G1 Z0.200;ok
13:09:21.778;G1 E10.00000 F3600.000;ok
13:09:21.781;M204 S500;ok
13:09:21.781;G1 F1800.000;ok
13:09:21.789;G1 X72.986 Y77.474 E10.06257;ok
13:09:21.802;G1 X74.901 Y76.141 E10.13185;ok
13:09:21.802;G1 X77.038 Y74.917 E10.20497;ok
13:09:21.805;G1 X79.273 Y73.908 E10.27777;ok
13:09:21.812;G1 X83.431 Y72.614 E10.40707;ok
13:09:21.818;G1 X85.028 Y72.223 E10.45589;ok
13:09:21.823;G1 X87.488 Y71.887 E10.52963;ok
13:09:21.835;G1 X90.129 Y71.767 E10.60810;ok
13:09:21.841;G1 X93.003 Y71.924 E10.69358;ok
13:09:21.841;G1 X95.392 Y72.303 E10.76540;ok
13:09:21.846;G1 X99.664 Y73.513 E10.89720;ok
13:09:21.853;G1 X101.847 Y74.367 E10.96682;ok
13:09:24.219;M105;ok T:218.8 /220.0 B:69.9 /70.0 T0:218.8 /220.0 @:52 B@:73
13:09:24.219;G1 X104.238 Y75.614 E11.04689;ok
13:09:24.573;G1 X106.685 Y77.228 E11.13392;ok
13:09:24.573;G1 X108.143 Y78.457 E11.19056;ok
13:09:25.775;M105;ok T:218.5 /220.0 B:70.2 /70.0 T0:218.5 /220.0 @:56 B@:40
13:09:25.775;G1 X111.144 Y81.404 E11.31543;ok
13:09:25.891;M105;ok T:218.5 /220.0 B:70.3 /70.0 T0:218.5 /220.0 @:56 B@:24
13:09:26.127;G1 X112.537 Y83.000 E11.37832;ok
13:09:26.132;G1 X113.877 Y84.932 E11.44813;ok
13:09:26.229;G1 X115.129 Y87.130 E11.52323;ok
13:09:26.294;G1 X116.126 Y89.364 E11.59589;ok
13:09:26.380;G1 X117.402 Y93.493 E11.72418;ok
13:09:26.459;G1 X117.797 Y95.143 E11.77456;ok
13:09:26.605;G1 X118.118 Y97.565 E11.84709;ok
13:09:26.664;G1 X118.232 Y100.427 E11.93216;ok
13:09:26.742;G1 X118.048 Y103.253 E12.01625;ok
13:09:26.831;G1 X117.667 Y105.526 E12.08467;ok
13:09:26.927;M105;ok T:218.2 /220.0 B:70.1 /70.0 T0:218.2 /220.0 @:61 B@:42
13:09:27.008;G1 X116.465 Y109.734 E12.21460;ok
13:09:27.158;M73 P1 R15;ok
13:09:27.158;M73 Q1 S15;ok
13:09:27.162;G1 X115.580 Y111.962 E12.28578;ok
13:09:27.236;G1 X114.268 Y114.437 E12.36895;ok
13:09:27.236;G1 X112.707 Y116.773 E12.45237;ok
13:09:27.325;G1 X111.487 Y118.211 E12.50838;ok
13:09:27.423;G1 X108.533 Y121.206 E12.63327;ok
13:09:27.486;G1 X106.947 Y122.578 E12.69553;ok
13:09:27.626;G1 X105.024 Y123.904 E12.76488;ok
13:09:27.728;G1 X102.851 Y125.139 E12.83910;ok
13:09:27.775;G1 X100.605 Y126.137 E12.91206;ok
13:09:27.871;G1 X96.497 Y127.405 E13.03971;ok
13:09:27.942;G1 X94.847 Y127.799 E13.09009;ok
13:09:28.096;M105;ok T:218.2 /220.0 B:70.1 /70.0 T0:218.2 /220.0 @:57 B@:40
13:09:28.155;G1 X92.431 Y128.118 E13.16245;ok
13:09:28.226;G1 X89.572 Y128.232 E13.24739;ok
13:09:28.231;G1 X86.750 Y128.049 E13.33137;ok
13:09:28.321;G1 X84.489 Y127.671 E13.39941;ok
13:09:28.415;G1 X80.274 Y126.468 E13.52956;ok
13:09:28.492;G1 X78.076 Y125.597 E13.59977;ok
13:09:28.639;G1 X75.631 Y124.310 E13.68180;ok
13:09:28.742;G1 X73.245 Y122.720 E13.76693;ok
13:09:28.812;G1 X71.797 Y121.494 E13.82326;ok
13:09:28.908;G1 X68.789 Y118.527 E13.94871;ok
13:09:28.969;G1 X67.424 Y116.949 E14.01066;ok
13:09:29.108;M105;ok T:218.6 /220.0 B:69.8 /70.0 T0:218.6 /220.0 @:50 B@:85
13:09:29.178;G1 X66.092 Y115.019 E14.08029;ok
13:09:29.258;G1 X64.881 Y112.888 E14.15306;ok
13:09:29.263;G1 X63.863 Y110.606 E14.22728;ok
13:09:29.341;G1 X62.596 Y106.509 E14.35460;ok
13:09:29.422;G1 X62.199 Y104.848 E14.40529;ok
13:09:29.566;G1 X61.876 Y102.375 E14.47935;ok
13:09:29.623;G1 X61.768 Y99.574 E14.56257;ok
13:09:29.704;G1 X61.940 Y96.846 E14.64372;ok
13:09:29.799;G1 X62.327 Y94.500 E14.71433;ok
13:09:29.895;G1 X63.529 Y90.284 E14.84449;ok
13:09:29.970;G1 X64.389 Y88.104 E14.91408;ok
13:09:30.117;G1 X65.674 Y85.659 E14.99610;ok
13:09:30.195;M105;ok T:218.8 /220.0 B:69.9 /70.0 T0:218.8 /220.0 @:46 B@:74
13:09:30.195;G1 X67.257 Y83.274 E15.08109;ok
13:09:30.385;G1 X68.495 Y81.808 E15.13804;ok
13:09:30.390;G1 X71.362 Y78.898 E15.25934;ok
13:09:30.447;M204 S1000;ok
13:09:30.589;G1 X71.616 Y79.149 F9000.000;ok
13:09:30.589;M204 S500;ok
13:09:30.659;G1 F1800.000;ok
13:09:30.659;G1 X73.207 Y77.755 E15.32214;ok
13:09:30.740;G1 X75.092 Y76.443 E15.39033;ok
13:09:30.815;G1 X77.196 Y75.237 E15.46234;ok
13:09:30.820;G1 X79.404 Y74.241 E15.53424;ok
13:09:30.902;G1 X83.532 Y72.956 E15.66262;ok
13:09:31.044;G1 X85.093 Y72.574 E15.71033;ok
13:09:31.105;G1 X87.522 Y72.243 E15.78313;ok
